date,old_testament,new_testament,psalm
1/1/25,"Genesis 1, Genesis 2",Matthew 1,19
1/2/25,"Genesis 3, Genesis 4",Matthew 2,
1/3/25,"Genesis 5, Genesis 6",Matthew 3,104
1/4/25,"Genesis 7, Genesis 8",Matthew 4,104
1/5/25,"Genesis 9, Genesis 10",Matthew 5,
1/6/25,"Genesis 11, Genesis 12",Matthew 6,
1/7/25,"Genesis 13, Genesis 14",Matthew 7,148
1/8/25,"Genesis 15, Genesis 16",Matthew 8,
1/9/25,"Genesis 17, Genesis 18",Matthew 9,
1/10/25,"Genesis 19, Genesis 20",Matthew 10,1
1/11/25,"Genesis 21, Genesis 22",Matthew 11,107
1/12/25,"Genesis 23, Genesis 24",Matthew 12,107
1/13/25,"Genesis 25, Genesis 26",Matthew 13,4
1/14/25,"Genesis 27, Genesis 28",Matthew 14,
1/15/25,"Genesis 29, Genesis 30",Matthew 15,11
1/16/25,"Genesis 31, Genesis 32",Matthew 16,11/145
1/17/25,"Genesis 33, Genesis 34",Matthew 17,145
1/18/25,"Genesis 35, Genesis 36",Matthew 18,12
1/19/25,"Genesis 37, Genesis 38",Matthew 19,12
1/20/25,"Genesis 39, Genesis 40",Matthew 20,
1/21/25,"Genesis 41, Genesis 42",Matthew 21,
1/22/25,"Genesis 43, Genesis 44",Matthew 22,24
1/23/25,"Genesis 45, Genesis 46",Matthew 23,108
1/24/25,"Genesis 47, Genesis 48",Matthew 24,25
1/25/25,"Genesis 49, Genesis 50",Matthew 25,
1/26/25,"Exodus 1, Exodus 2",Matthew 26,
1/27/25,"Exodus 3, Exodus 4",Matthew 27,
1/28/25,"Exodus 5, Exodus 6",Matthew 28,
1/29/25,"Exodus 7, Exodus 8",Mark 1,105
1/30/25,"Exodus 9, Exodus 10",Mark 2,105
1/31/25,"Exodus 11, Exodus 12",Mark 3,
2/1/25,"Exodus 13, Exodus 14",Mark 4,114
2/2/25,"Exodus 15, Exodus 16",Mark 5,114
2/3/25,"Exodus 17, Exodus 18",Mark 6,
2/4/25,"Exodus 19, Exodus 20",Mark 7,33
2/5/25,"Exodus 21, Exodus 22",Mark 8,33/109
2/6/25,"Exodus 23, Exodus 24",Mark 9,109
2/7/25,"Exodus 25, Exodus 26",Mark 10,90
2/8/25,"Exodus 27, Exodus 28",Mark 11,90
2/9/25,"Exodus 29, Exodus 30",Mark 12,
2/10/25,"Exodus 31, Exodus 32",Mark 13,
2/11/25,"Exodus 33, Exodus 34",Mark 14,
2/12/25,"Exodus 35, Exodus 36",Mark 15,26
2/13/25,"Exodus 37, Exodus 38",Mark 16,26
2/14/25,"Exodus 39, Exodus 40",Luke 1,
2/15/25,"Leviticus 1, Leviticus 2",Luke 2,27
2/16/25,"Leviticus 3, Leviticus 4",Luke 3,27
2/17/25,"Leviticus 5, Leviticus 6",Luke 4,
2/18/25,"Leviticus 7, Leviticus 8",Luke 5,110
