date,ot_book,ot_chapter,nt_book,nt_chapter,psalm_book,psalm_chapter
2025-01-01,Genesis,1,,,,
2025-01-01,Genesis,2,,,,
2025-01-01,,,Matthew,1,,
2025-01-01,,,,,Psalm,19
2025-01-02,Genesis,3,,,,
2025-01-02,Genesis,4,,,,
2025-01-02,,,Matthew,2,,
2025-01-03,Genesis,5,,,,
2025-01-03,Genesis,6,,,,
2025-01-03,,,Matthew,3,,
2025-01-03,,,,,Psalm,104
2025-01-04,Genesis,7,,,,
2025-01-04,Genesis,8,,,,
2025-01-04,,,Matthew,4,,
2025-01-04,,,,,Psalm,104
2025-01-05,Genesis,9,,,,
2025-01-05,Genesis,10,,,,
2025-01-05,,,Matthew,5,,
2025-01-06,Genesis,11,,,,
2025-01-06,Genesis,12,,,,
2025-01-06,,,Matthew,6,,
2025-01-07,Genesis,13,,,,
2025-01-07,Genesis,14,,,,
2025-01-07,,,Matthew,7,,
2025-01-07,,,,,Psalm,148
2025-01-08,Genesis,15,,,,
2025-01-08,Genesis,16,,,,
2025-01-08,,,Matthew,8,,
2025-01-09,Genesis,17,,,,
2025-01-09,Genesis,18,,,,
2025-01-09,,,Matthew,9,,
2025-01-10,Genesis,19,,,,
2025-01-10,Genesis,20,,,,
2025-01-10,,,Matthew,10,,
2025-01-10,,,,,Psalm,1
2025-01-11,Genesis,21,,,,
2025-01-11,Genesis,22,,,,
2025-01-11,,,Matthew,11,,
2025-01-11,,,,,Psalm,107
2025-01-12,Genesis,23,,,,
2025-01-12,Genesis,24,,,,
2025-01-12,,,Matthew,12,,
2025-01-12,,,,,Psalm,107
2025-01-13,Genesis,25,,,,
2025-01-13,Genesis,26,,,,
2025-01-13,,,Matthew,13,,
2025-01-13,,,,,Psalm,4
2025-01-14,Genesis,27,,,,
2025-01-14,Genesis,28,,,,
2025-01-14,,,Matthew,14,,
2025-01-15,Genesis,29,,,,
2025-01-15,Genesis,30,,,,
2025-01-15,,,Matthew,15,,
2025-01-15,,,,,Psalm,11
2025-01-16,Genesis,31,,,,
2025-01-16,Genesis,32,,,,
2025-01-16,,,Matthew,16,,
2025-01-16,,,,,Psalm,11
2025-01-17,Genesis,33,,,,
2025-01-17,Genesis,34,,,,
2025-01-17,,,Matthew,17,,
2025-01-17,,,,,Psalm,145
2025-01-18,Genesis,35,,,,
2025-01-18,Genesis,36,,,,
2025-01-18,,,Matthew,18,,
2025-01-18,,,,,Psalm,12
2025-01-19,Genesis,37,,,,
2025-01-19,Genesis,38,,,,
2025-01-19,,,Matthew,19,,
2025-01-19,,,,,Psalm,12
2025-01-20,Genesis,39,,,,
2025-01-20,Genesis,40,,,,
2025-01-20,,,Matthew,20,,
2025-01-21,Genesis,41,,,,
2025-01-21,Genesis,42,,,,
2025-01-21,,,Matthew,21,,
2025-01-22,Genesis,43,,,,
2025-01-22,Genesis,44,,,,
2025-01-22,,,Matthew,22,,
2025-01-22,,,,,Psalm,24
2025-01-23,Genesis,45,,,,
2025-01-23,Genesis,46,,,,
2025-01-23,,,Matthew,23,,
2025-01-23,,,,,Psalm,108
2025-01-24,Genesis,47,,,,
2025-01-24,Genesis,48,,,,
2025-01-24,,,Matthew,24,,
2025-01-24,,,,,Psalm,25
2025-01-25,Genesis,49,,,,
2025-01-25,Genesis,50,,,,
2025-01-25,,,Matthew,25,,
2025-01-26,Exodus,1,,,,
2025-01-26,Exodus,2,,,,
2025-01-26,,,Matthew,26,,
2025-01-27,Exodus,3,,,,
2025-01-27,Exodus,4,,,,
2025-01-27,,,Matthew,27,,
2025-01-28,Exodus,5,,,,
2025-01-28,Exodus,6,,,,
2025-01-28,,,Matthew,28,,
2025-01-29,Exodus,7,,,,
2025-01-29,Exodus,8,,,,
2025-01-29,,,Mark,1,,
2025-01-29,,,,,Psalm,105
2025-01-30,Exodus,9,,,,
2025-01-30,Exodus,10,,,,
2025-01-30,,,Mark,2,,
2025-01-30,,,,,Psalm,105
