Date,Book,Chapter,Type
2025-01-01,Genesis,1,Old Testament
2025-01-01,Genesis,2,Old Testament
2025-01-01,Matthew,1,New Testament
2025-01-01,Psalm,19,Psalm
2025-01-02,Matthew,2,New Testament
2025-01-02,Psalm,Your choice,Psalm
2025-01-02,Genesis,3,Old Testament
2025-01-02,Genesis,4,Old Testament
2025-01-03,Genesis,5,Old Testament
2025-01-03,Genesis,6,Old Testament
2025-01-03,Matthew,3,New Testament
2025-01-03,Psalm,104,Psalm
2025-01-04,Genesis,7,Old Testament
2025-01-04,Genesis,8,Old Testament
2025-01-04,Matthew,4,New Testament
2025-01-04,Psalm,104,Psalm
2025-01-05,Genesis,9,Old Testament
2025-01-05,Genesis,10,Old Testament
2025-01-05,Matthew,5,New Testament
2025-01-05,Psalm,Your choice,Psalm
2025-01-06,Psalm,Your choice,Psalm
2025-01-06,Genesis,11,Old Testament
2025-01-06,Matthew,6,New Testament
2025-01-06,Genesis,12,Old Testament
2025-01-07,Genesis,13,Old Testament
2025-01-07,Genesis,14,Old Testament
2025-01-07,Matthew,7,New Testament
2025-01-07,Psalm,148,Psalm
2025-01-08,Psalm,Your choice,Psalm
2025-01-08,Matthew,8,New Testament
2025-01-08,Genesis,15,Old Testament
2025-01-08,Genesis,16,Old Testament
2025-01-09,Genesis,18,Old Testament
2025-01-09,Psalm,Your choice,Psalm
2025-01-09,Genesis,17,Old Testament
2025-01-09,Matthew,9,New Testament
2025-01-10,Genesis,19,Old Testament
2025-01-10,Genesis,20,Old Testament
2025-01-10,Matthew,10,New Testament
2025-01-10,Psalm,1,Psalm
2025-01-11,Genesis,21,Old Testament
2025-01-11,Genesis,22,Old Testament
2025-01-11,Matthew,11,New Testament
2025-01-11,Psalm,107,Psalm
2025-01-12,Psalm,107,Psalm
2025-01-12,Matthew,12,New Testament
2025-01-12,Genesis,24,Old Testament
2025-01-12,Genesis,23,Old Testament
2025-01-13,Genesis,25,Old Testament
2025-01-13,Psalm,4,Psalm
2025-01-13,Genesis,26,Old Testament
2025-01-13,Matthew,13,New Testament
2025-01-14,Genesis,27,Old Testament
2025-01-14,Genesis,28,Old Testament
2025-01-14,Matthew,14,New Testament
2025-01-14,Psalm,Your choice,Psalm
2025-01-15,Matthew,15,New Testament
2025-01-15,Genesis,29,Old Testament
2025-01-15,Genesis,30,Old Testament
2025-01-15,Psalm,11,Psalm
2025-01-16,Psalm,11,Psalm
2025-01-16,Genesis,31,Old Testament
2025-01-16,Genesis,32,Old Testament
2025-01-16,Matthew,16,New Testament
2025-01-17,Genesis,33,Old Testament
2025-01-17,Genesis,34,Old Testament
2025-01-17,Matthew,17,New Testament
2025-01-17,Psalm,145,Psalm
2025-01-18,Matthew,18,New Testament
2025-01-18,Psalm,12,Psalm
2025-01-18,Genesis,35,Old Testament
2025-01-18,Genesis,36,Old Testament
2025-01-19,Genesis,37,Old Testament
2025-01-19,Genesis,38,Old Testament
2025-01-19,Matthew,19,New Testament
2025-01-19,Psalm,12,Psalm
2025-01-20,Psalm,Your choice,Psalm
2025-01-20,Genesis,39,Old Testament
2025-01-20,Matthew,20,New Testament
2025-01-20,Genesis,40,Old Testament
2025-01-21,Matthew,21,New Testament
2025-01-21,Genesis,42,Old Testament
2025-01-21,Psalm,Your choice,Psalm
2025-01-21,Genesis,41,Old Testament
2025-01-22,Matthew,22,New Testament
2025-01-22,Psalm,24,Psalm
2025-01-22,Genesis,44,Old Testament
2025-01-22,Genesis,43,Old Testament
2025-01-23,Psalm,108,Psalm
2025-01-23,Genesis,46,Old Testament
2025-01-23,Genesis,45,Old Testament
2025-01-23,Matthew,23,New Testament
2025-01-24,Genesis,47,Old Testament
2025-01-24,Genesis,48,Old Testament
2025-01-24,Matthew,24,New Testament
2025-01-24,Psalm,25,Psalm
2025-01-25,Matthew,25,New Testament
2025-01-25,Psalm,Your choice,Psalm
2025-01-25,Genesis,50,Old Testament
